,model,website,type,fullname,price,status,time_to_market,size,resolution,rear_camera,front_camera,battery_size,battery_type,CPU,memory
37,VCE-L22,http://detail.zol.com.cn/cell_phone/index1246226.shtml,手机,华为nova 4（高配版/全网通）,2799,正常,,6.4英寸,2310x1080像素,4800万像素+1600万像素+200万像素,2500万像素,3750mAh,不可拆卸式电池,4×Cortex A73 2.36GHz+4×Cortex A5....>>,8GB
38,P024,http://detail.zol.com.cn/cell_phone/index398690.shtml,手机,苹果iPhone 6S Plus（全网通）,3000,停产,2015年09月,5.5英寸,1920x1080像素,1200万像素,500万像素,2750mAh,不可拆卸式电池,双核,2GB
39,OYSIN R15,http://detail.zol.com.cn/cell_phone/index1212068.shtml,手机,OPPO R15（4GB RAM/全网通）,2399,正常,2018年04月01日,6.28英寸,2280x1080像素,1600万像素+500万像素,2000万像素,3450mAh,不可拆卸式电池,八核,4GB
40,NX606J,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
41,HCHM1,http://detail.zol.com.cn/cell_phone/index1156833.shtml,手机,锤子科技M1L（标准版/全网通）,1999,停产,,5.7英寸,2560x1440像素,2300万像素,400万像素,4080mAh,暂无数据,四核,4GB
42,HUAWEI G7-UL20,http://detail.zol.com.cn/cell_phone/index394047.shtml,手机,华为Ascend G7（G7-UL20/双4G）,890,停产,2014年10月,5.5英寸,1280x720像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,四核,2GB
43,C730Lw,http://detail.zol.com.cn/cell_phone/index369920.shtml,手机,HONPhone Z9S,1999,停产,,5.5英寸,1920x1080像素,1300万像素,暂无数据,5000mAh,不可拆卸式电池,四核,2GB
44,Redmi Note 6 Pro,http://detail.zol.com.cn/cell_phone/index1230311.shtml,手机,小米红米Note 6 Pro（4GB RAM/全网通）,1599,停产,,6.26英寸,2280x1080像素,1200万像素+500万像素,2000万像素+200万像素,4000mAh,不可拆卸式电池,八核,4GB
45,R7kt,http://detail.zol.com.cn/cell_phone/index398466.shtml,手机,OPPO R7（R7t/移动4G）,2299,正常,2015年05月,5英寸,1920x1080像素,1300万像素,800万像素,2320mAh,不可拆卸式电池,真八核,3GB
46,DUB-AL00a,http://detail.zol.com.cn/cell_phone/index1245419.shtml,手机,华为畅享9（4GB RAM/全网通）,1199,正常,,6.26英寸,1520x720像素,1300万像素+200万像素,800万像素,4000mAh,不可拆卸式电池,八核,4GB
47,F5,http://detail.zol.com.cn/cell_phone/index1162219.shtml,手机,金立F5（全网通）,1499,停产,,5.3英寸,1280x720像素,1300万像素,800万像素,4000mAh,暂无数据,八核,4GB
48,SM701,http://detail.zol.com.cn/cell_phone/index378886.shtml,手机,锤子科技T1（联通3G）,2080,停产,2014年05月,4.95英寸,1920x1080像素,1278万像素,503万像素,2570mAh,不可拆卸式电池,四核,2GB
49,SM-C7018,http://detail.zol.com.cn/cell_phone/index1160785.shtml,手机,三星GALAXY C7 Pro（C7010/全网通）,1599,正常,,5.7英寸,1920x1080像素,1600万像素,1600万像素,3300mAh,不可拆卸式电池,八核,4GB
50,oppo r9s,http://detail.zol.com.cn/cell_phone/index1156279.shtml,手机,OPPO R9s（全网通）,2499,正常,2016年10月,5.5英寸,1920x1080像素,1600万像素,1600万像素,3010mAh,不可拆卸式电池,八核,4GB
51,iPad mini (WiFi),http://detail.zol.com.cn/tablepc/index338938.shtml,平板电脑,苹果iPad mini（32GB/WIFI版）,2800,正常,,7.9英寸,1024x768,1GHz,双核心,32GB,暂无数据,锂电池,10小时左右，具体时间视使用环境而定
52,SM-N7508V,http://detail.zol.com.cn/cell_phone/index373668.shtml,手机,三星GALAXY Note 3 Lite（N7508V/移动4G）,2850,正常,,5.5英寸,1280x720像素,800万像素,200万像素,3100mAh,可拆卸式电池,四核,2GB
53,F8,http://detail.zol.com.cn/cell_phone/index146343.shtml,手机,金立F8,599,正常,,400x240像素,暂无数据,130万像素,暂无数据,900mAh,暂无数据,暂无数据,暂无数据
54,F9,http://detail.zol.com.cn/cell_phone/index1169634.shtml,手机,SUGAR F9（全网通）,1799,正常,,5.5英寸,1920x1080像素,1300万像素,1600万像素,3000mAh,不可拆卸式电池,八核,4GB
55,E601,http://detail.zol.com.cn/cell_phone_index/subcate57_19_list_1_s4328_3_1_0_1.html,手机,,0,非售,,,,,,,,,
56,R11 Plus,http://detail.zol.com.cn/cell_phone/index1170222.shtml,手机,OPPO R11 Plus（全网通）,1788,正常,2017年06月30日,6英寸,1920x1080像素,1600万像素+2000万像素,2000万像素,4000mAh,不可拆卸式电池,八核,6GB
57,HUAWEI G628-TL00,http://detail.zol.com.cn/cell_phone/index395008.shtml,手机,华为G628（移动4G）,599,停产,,5英寸,1280x720像素,800万像素,200万像素,2000mAh,不可拆卸式电池,真八核,1GB
58,SM705,http://detail.zol.com.cn/cell_phone/index380788.shtml,手机,锤子科技T1（双4G）,2200,停产,2014年10月,4.95英寸,1920x1080像素,1278万像素,503万像素,2570mAh,不可拆卸式电池,四核,2GB
59,M652,,,,0,非售,,,,,,,,,
60,M653,http://detail.zol.com.cn/cell_phone/index1174695.shtml,手机,中国移动A3s（移动4G）,542,正常,,5.2英寸,1280x720像素,800万像素,500万像素,2800mAh,暂无数据,四核,2GB
61,ivvi C5-T,http://detail.zol.com.cn/cell_phone/index1203421.shtml,手机,ivvi C5（全网通）,3312,正常,,5.5英寸,1920x1080像素,1300万像素,1600万像素,4000mAh,暂无数据,八核,4GB
62,MI NOTE LTE,http://detail.zol.com.cn/cell_phone/index395208.shtml,手机,小米Note（全网通）,1699,正常,2015年01月,5.7英寸,1920x1080像素,1300万像素,400万像素,3000mAh,不可拆卸式电池,四核,3GB
63,iPhone 8 Plus,http://detail.zol.com.cn/cell_phone/index1204817.shtml,手机,苹果iPhone 8 Plus（国际版/全网通）,4399,正常,2017年09月,5.5英寸,1920x1080像素,双1200万像素,700万像素,2675mAh,不可拆卸式电池,六核,3GB
64,MIX 2,http://detail.zol.com.cn/cell_phone/index1160797.shtml,手机,小米MIX 2（全网通）,1958,正常,2017年09月15日,5.99英寸,2160x1080像素,1200万像素,500万像素,3400mAh,不可拆卸式电池,八核,6GB
65,M654,http://detail.zol.com.cn/cell_phone/index1216588.shtml,手机,中国移动A5（移动全网通）,599,停产,,5.45英寸,1440x720像素,800万像素,500万像素,3000mAh,不可拆卸式电池,四核,1GB
66,SM-G9550,http://detail.zol.com.cn/cell_phone/index1179477.shtml,手机,三星GALAXY S8+（G9550/单卡版/全网通）,3599,停产,,6.2英寸,2960x1440像素,1200万像素,800万像素,3500mAh,不可拆卸式电池,八核,4GB
67,MIX 3,http://detail.zol.com.cn/cell_phone/index1203931.shtml,手机,小米MIX 3（6GB RAM/全网通）,2299,正常,,6.39英寸,2340x1080像素,双1200万像素,2400万像素+200万像素,3200mAh,不可拆卸式电池,八核,6GB
68,GO N20,http://detail.zol.com.cn/cell_phone/index1101566.shtml,手机,乐视乐2（全网通）,599,停产,2016年04月,5.5英寸,1920x1080像素,1600万像素,800万像素,3000mAh,不可拆卸式电池,十核,3GB
69,vivo Y85A,http://detail.zol.com.cn/cell_phone/index1209808.shtml,手机,vivo Y85（全网通）,1398,正常,2018年3月28日,6.26英寸,2280x1080像素,主摄1300万像素+副摄200万像素,1600万像素,3260mAh,不可拆卸式电池,八核,4GB
70,GO N2,http://detail.zol.com.cn/cell_phone/index1138278.shtml,手机,vivo X6S（全网通）,1980,停产,,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,八核,4GB
71,HTC M9et,http://detail.zol.com.cn/cell_phone/index401587.shtml,手机,HTC One ME（M9et/移动4G）,1259,停产,,5.2英寸,2560x1440像素,2000万像素,400万像素,2840mAh,不可拆卸式电池,真八核,3GB
72,Lenovo A938t,http://detail.zol.com.cn/cell_phone/index374595.shtml,手机,联想S938t,709,停产,,6英寸,1280x720像素,800万像素,160万像素,3000mAh,暂无数据,真八核,1GB
73,Redmi S2,http://detail.zol.com.cn/cell_phone/index1213595.shtml,手机,Redmi S2（4GB RAM/全网通）,818,正常,,5.99英寸,1440x720像素,1200万像素+500万像素,1600万像素,3080mAh,不可拆卸式电池,八核,4GB
74,1841-C0,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
75,T3582,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
76,GT-N7100,http://detail.zol.com.cn/cell_phone/index326610.shtml,手机,三星GALAXY Note II（N7100/16GB）,2300,正常,2012年10月,5.5英寸,1280x720像素,800万像素,190万像素,3100mAh,可拆卸式电池,四核,2GB
77,GT-N7102,http://detail.zol.com.cn/cell_phone/index334982.shtml,手机,三星GALAXY Note II（N7102/32GB/联通版）,3685,正常,2012年10月,5.5英寸,1280x720像素,800万像素,190万像素,3100mAh,可拆卸式电池,四核,2GB
78,2014501,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
79,GEM-703LT,http://detail.zol.com.cn/cell_phone/index397331.shtml,手机,荣耀X2（GEM-703LT/高配版/移动4G）,1799,停产,,7英寸,1920x1200像素,1300万像素,500万像素,5000mAh,不可拆卸式电池,真八核,3GB
80,YAL-AL00,http://detail.zol.com.cn/cell_phone/index1170043.shtml,手机,华为nova 2 Plus（BAC-AL00/全网通）,1098,正常,2017年06月,5.5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,3340mAh,不可拆卸式电池,八核,4GB
81,H8296,http://detail.zol.com.cn/cell_phone/index1204546.shtml,手机,索尼Xperia XZ2（双4G）,3199,正常,,5.7英寸,2160x1080像素,1900万像素,500万像素,3060mAh,不可拆卸式电池,八核,6GB
82,C106-7,http://detail.zol.com.cn/cell_phone/index1151267.shtml,手机,酷派cool1（标准版/全网通）,758,正常,,5.5英寸,1920x1080像素,双1300万像素,800万像素,4060mAh,不可拆卸式电池,八核,3GB
83,FLA-AL10,http://detail.zol.com.cn/cell_phone/index1210102.shtml,手机,华为畅享8 Plus（全网通）,1368,正常,,5.93英寸,2160x1080像素,1300万像素+200万像素,1600万像素+200万像素,4000mAh,不可拆卸式电池,八核,4GB
84,C106-8,http://detail.zol.com.cn/cell_phone/index1151267.shtml,手机,酷派cool1（标准版/全网通）,758,正常,,5.5英寸,1920x1080像素,双1300万像素,800万像素,4060mAh,不可拆卸式电池,八核,3GB
85,OPSSON V10,http://detail.zol.com.cn/cell_phone/index345021.shtml,手机,HONPhone V10,799,停产,,5.3英寸,960x540像素,800万像素,130万像素,2500mAh,可拆卸式电池,双核,512MB
86,PBFM00,http://detail.zol.com.cn/cell_phone/index1239500.shtml,手机,OPPO A7（3GB RAM/全网通）,0,即将上市,,6.2英寸,1520x720像素,1300万像素+200万像素,1600万像素,4230mAh,不可拆卸式电池,八核,3GB
87,SM-A3050,http://detail.zol.com.cn/cell_phone/index1138170.shtml,手机,三星GALAXY A9（A9100/高配版/全网通）,1899,停产,2016年01月,6英寸,1920x1080像素,1600万像素,800万像素,5000mAh,不可拆卸式电池,八核,4GB
88,Mate9,http://detail.zol.com.cn/cell_phone/index1143413.shtml,手机,华为Mate 9（MHA-AL00/4GB RAM/全网通）,1788,停产,2016年11月14日,5.9英寸,1920x1080像素,2000万像素+1200万像素,800万像素,4000mAh,不可拆卸式电池,八核,4GB
89,HTC D626w,http://detail.zol.com.cn/cell_phone/index398213.shtml,手机,HTC Desire 626（d626w/公开版/双4G）,930,停产,,5英寸,1280x720像素,1300万像素,500万像素,2000mAh,暂无数据,真八核,2GB
90,vivo Y71A,http://detail.zol.com.cn/cell_phone/index1210526.shtml,手机,vivo Y71（3GB RAM/全网通）,1000,正常,,5.99英寸,1440x720像素,1300万像素,500万像素,3360mAh,不可拆卸式电池,四核,3GB
91,C106-9,http://detail.zol.com.cn/cell_phone/index1151267.shtml,手机,酷派cool1（标准版/全网通）,758,正常,,5.5英寸,1920x1080像素,双1300万像素,800万像素,4060mAh,不可拆卸式电池,八核,3GB
92,Coolpad 8722V,http://detail.zol.com.cn/cell_phone/index1144167.shtml,手机,酷派8722V（标准版/移动4G）,259,正常,,5英寸,1280x720像素,800万像素,200万像素,2000mAh,不可拆卸式电池,1GB,暂无数据
93,SM-G1650,http://detail.zol.com.cn/cell_phone/index1214030.shtml,手机,三星Galaxy Folder2 （G1650/全网通）,1299,正常,,3.8英寸,800x480像素,800万像素,500万像素,1950mAh,可拆卸式电池,四核,2GB
94,GT-N7108,http://detail.zol.com.cn/cell_phone/index334985.shtml,手机,三星GALAXY Note II（N7108/16GB/移动版）,3578,正常,2012年10月,5.5英寸,1280x720像素,800万像素,190万像素,3100mAh,可拆卸式电池,四核,2GB
95,Coolpad 5263S,http://detail.zol.com.cn/cell_phone/index1115681.shtml,手机,酷派5263S（电信4G）,299,正常,,5英寸,854x480像素,500万像素,30万像素,暂无数据,暂无数据,四核,1GB
96,GIONEE F109,http://detail.zol.com.cn/cell_phone/index1179192.shtml,手机,金立F109（全网通）,1299,停产,,5英寸,1280x720像素,800万像素,500万像素,2660mAh,暂无数据,3GB,暂无数据
97,1809-A01,http://detail.zol.com.cn/cell_phone/index1213119.shtml,手机,360 手机N7 Pro（全网通）,1488,正常,,5.99英寸,2160x1080像素,1200万像素+200万像素,1600万像素+200万像素,4000mAh,不可拆卸式电池,八核,6GB
98,GO 50023,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
99,SS2-01,http://detail.zol.com.cn/cell_phone/index1115610.shtml,手机,ivvi 小骨Pro（Sk3-01/全网通）,1079,正常,,4.7英寸,1280x720像素,800万像素,500万像素,1800mAh,不可拆卸式电池,四核,2GB
100,A31c,http://detail.zol.com.cn/cell_phone/index401698.shtml,手机,OPPO A31（A31c/电信4G）,950,正常,,4.5英寸,854x480像素,800万像素,200万像素,2000mAh,不可拆卸式电池,四核,1GB
101,vivo v3m a,http://detail.zol.com.cn/cell_phone/index1141792.shtml,手机,vivo V3（移动4G）,1000,停产,,5英寸,1280x720像素,1300万像素,800万像素,2600mAh,不可拆卸式电池,八核,3GB
102,LEX720,http://detail.zol.com.cn/cell_phone/index1155117.shtml,手机,乐视乐Pro 3（6GB RAM/全网通）,1799,停产,2016年09月,5.5英寸,1920x1080像素,1600万像素,800万像素,4070mAh,不可拆卸式电池,6GB,暂无数据
103,PCCM00,http://detail.zol.com.cn/cell_phone/index1212068.shtml,手机,OPPO R15（4GB RAM/全网通）,2399,正常,2018年04月01日,6.28英寸,2280x1080像素,1600万像素+500万像素,2000万像素,3450mAh,不可拆卸式电池,八核,4GB
104,k62v1_64_bsp,http://detail.zol.com.cn/cell_phone/index1174429.shtml,手机,vivo X9s（全网通）,1998,停产,2017年07月,5.5英寸,1920x1080像素,1600万像素,2000万像素+500万像素,3320mAh,不可拆卸式电池,八核,4GB
105,LND-AL30,http://detail.zol.com.cn/cell_phone/index1209188.shtml,手机,荣耀畅玩7C（4GB RAM/全网通）,938,正常,,5.99英寸,1440x720像素,1300万像素+200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
106,C6903,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
107,MI 2,http://detail.zol.com.cn/cell_phone/index319601.shtml,手机,小米米Phone,0,停产,,4英寸,800x480像素,800万像素,暂无数据,1930mAh,可拆卸式电池,暂无数据,暂无数据
108,MI 3,http://detail.zol.com.cn/cell_phone/index319601.shtml,手机,小米米Phone,0,停产,,4英寸,800x480像素,800万像素,暂无数据,1930mAh,可拆卸式电池,暂无数据,暂无数据
109,SM-G955F,http://detail.zol.com.cn/cell_phone/index1170070.shtml,手机,三星GALAXY S8+（双4G）,4399,正常,,6.2英寸,2960x1440像素,1200万像素,800万像素,3500mAh,不可拆卸式电池,八核,4GB
110,LEX722,http://detail.zol.com.cn/cell_phone/index1167931.shtml,手机,乐视乐Pro 3（6GB RAM/精英版/全网通）,1750,停产,2017年03月,5.5英寸,1920x1080像素,1600万像素,800万像素,4070mAh,不可拆卸式电池,6GB,暂无数据
111,DUK-AL20,http://detail.zol.com.cn/cell_phone/index1165487.shtml,手机,荣耀V9（DUK-AL20/4GB RAM/全网通）,2399,正常,2017年02月28日,5.7英寸,2560x1440像素,双1200万像素,800万像素,4000mAh,不可拆卸式电池,八核,4GB
112,HTC U Ultra,http://detail.zol.com.cn/cell_phone/index1158872.shtml,手机,HTC U Ultra（全网通）,1000,正常,2017年01月,5.7英寸,2560x1440像素,1200万像素,1600万像素,3000mAh,暂无数据,4GB,暂无数据
113,SM-G7200,http://detail.zol.com.cn/cell_phone/index391572.shtml,手机,三星GALAXY Grand Max（G7200/双4G）,1099,停产,,5.25英寸,1280x720像素,1300万像素,500万像素,2500mAh,可拆卸式电池,四核,1.5GB
114,20160212W,http://detail.zol.com.cn/cell_phone/index1221865.shtml,手机,vivo Z1i（4GB RAM/全网通）,1898,正常,,6.26英寸,2280x1080像素,1300万像素+200万像素,1600万像素,3260mAh,不可拆卸式电池,八核,4GB
115,MI 5,http://detail.zol.com.cn/cell_phone/index386188.shtml,手机,小米5（标准版/全网通）,1516,停产,2016年02月,5.15英寸,1920x1080像素,1600万像素,400万像素,3000mAh,不可拆卸式电池,四核,3GB
116,SM-W2014,http://detail.zol.com.cn/cell_phone/index361883.shtml,手机,三星W2014（电信3G）,19000,正常,,3.7英寸,800x480像素,1300万像素,200万像素,1900mAh,可拆卸式电池,四核,2GB
117,MI 6,http://detail.zol.com.cn/cell_phone/index1161066.shtml,手机,小米6（6GB RAM/全网通）,2199,正常,2017年04月28日,5.15英寸,1920x1080像素,双1200万像素,800万像素,3350mAh,不可拆卸式电池,八核,6GB
118,TCL 950,http://detail.zol.com.cn/cell_phone/index1151402.shtml,手机,TCL 950（全网通）,1699,停产,,5.5英寸,1920x1080像素,2100万像素,800万像素,3000mAh,不可拆卸式电池,四核,4GB
119,QUY Q1s,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
120,SM-W2015,http://detail.zol.com.cn/cell_phone/index390314.shtml,手机,三星W2015（电信4G）,3250,停产,,3.9英寸,1280x768像素,1600万像素,200万像素,1900mAh,可拆卸式电池,四核,2GB
121,koobee S309,http://detail.zol.com.cn/cell_phone/index1178178.shtml,手机,酷比S11（全网通）,0,停产,,5.2英寸,1280x720像素,1300万像素,500万像素,4000mAh,不可拆卸式电池,四核,3GB
122,SM-W2016,http://detail.zol.com.cn/cell_phone/index1102246.shtml,手机,三星W2016（电信4G）,4399,正常,,3.9英寸,1280x768像素,1600万像素,500万像素,2000mAh,不可拆卸式电池,八核,3GB
